year,scenario,CI_level,warming
1754.0,Net Zero 2050,0.16,-0.0996437336534103
1754.0,Net Zero 2050,0.5,0.0180146585054519
1754.0,Net Zero 2050,0.84,0.1476667737090035
1754.0,Net Zero 2050,0.95,0.233367083401888
1754.0,Net Zero 2050,1.0,0.4556855437813023
1754.0,Below 2°C,0.0,-0.3373009669853957
1754.0,Below 2°C,0.05,-0.1805510384460407
1754.0,Below 2°C,0.16,-0.0996437336534103
1754.0,Below 2°C,0.5,0.0180146585054519
1754.0,Below 2°C,0.84,0.1476667737090035
1754.0,Below 2°C,0.95,0.233367083401888
1754.0,Below 2°C,1.0,0.4556855437813023
1754.0,Delayed Transition,0.0,-0.3373009669853957
1754.0,Delayed Transition,0.05,-0.1805510384460407
1754.0,Delayed Transition,0.16,-0.0996437336534103
1754.0,Delayed Transition,0.5,0.0180146585054519
1754.0,Delayed Transition,0.84,0.1476667737090035
1754.0,Delayed Transition,0.95,0.233367083401888
1754.0,Delayed Transition,1.0,0.4556855437813023
1754.0,Fragmented World,0.0,-0.3373009669853957
1754.0,Fragmented World,0.05,-0.1805510384460407
1754.0,Fragmented World,0.16,-0.0996437336534103
1754.0,Fragmented World,0.5,0.0180146585054519
1754.0,Fragmented World,0.84,0.1476667737090035
1754.0,Fragmented World,0.95,0.233367083401888
1754.0,Fragmented World,1.0,0.4556855437813023
1754.0,Nationally Determined Contributions (NDCs),0.0,-0.3373009669853957
1754.0,Nationally Determined Contributions (NDCs),0.05,-0.1805510384460407
1754.0,Nationally Determined Contributions (NDCs),0.16,-0.0996437336534103
1754.0,Nationally Determined Contributions (NDCs),0.5,0.0180146585054519
1754.0,Nationally Determined Contributions (NDCs),0.84,0.1476667737090035
1754.0,Nationally Determined Contributions (NDCs),0.95,0.233367083401888
1754.0,Nationally Determined Contributions (NDCs),1.0,0.4556855437813023
1754.0,Current Policies,0.0,-0.3373009669853957
1754.0,Current Policies,0.05,-0.1805510384460407
1754.0,Current Policies,0.16,-0.0996437336534103
1754.0,Current Policies,0.5,0.0180146585054519
1754.0,Current Policies,0.84,0.1476667737090035
1754.0,Current Policies,0.95,0.233367083401888
1754.0,Current Policies,1.0,0.4556855437813023
1755.0,Low Demand,0.0,-0.4490637037677213
1755.0,Low Demand,0.05,-0.207406723937204
1755.0,Low Demand,0.16,-0.134075376028611
1755.0,Low Demand,0.5,-0.0161624896812511
1755.0,Low Demand,0.84,0.0974353816606836
1755.0,Low Demand,0.95,0.2078897069704063
1755.0,Low Demand,1.0,0.3836251400064921
1755.0,Net Zero 2050,0.0,-0.4490637037677213
1755.0,Net Zero 2050,0.05,-0.207406723937204
1755.0,Net Zero 2050,0.16,-0.134075376028611
1755.0,Net Zero 2050,0.5,-0.0161624896812511
1755.0,Net Zero 2050,0.84,0.0974353816606836
1755.0,Net Zero 2050,0.95,0.2078897069704063
1755.0,Net Zero 2050,1.0,0.3836251400064921
1755.0,Below 2°C,0.0,-0.4490637037677213
1755.0,Below 2°C,0.05,-0.207406723937204
